PeakID (cmd=annotatePeaks.pl overlapped_H3K9me3.bed /media/dimbo/10T/data/talianidis_data/genomes/mm10/hisat_index/mm10.fa -gtf /media/dimbo/10T/data/talianidis_data/genomes/mm10/genes_info/mm10_GENES_GENCODE.VM23.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
H3K9me3_i71_peak_1758-3	chr15	76174058	76182361	+	55	NA	exon (ENSMUST00000023226.12, exon 32 of 32)	-exon (ENSMUST00000023226.12, exon 32 of 32)	9834	ENSMUST00000165210.7	ENSMUST00000165210	ENSMUST00000165210						NA
H3K9me3_i71_peak_3873	chr5	110127925	110129377	+	55	NA	exon (ENSMUST00000086686.6, exon 4 of 4)	-exon (ENSMUST00000086686.6, exon 4 of 4)	-7191	ENSMUST00000200038.1	ENSMUST00000200038	ENSMUST00000200038						NA
H3K9me3_i71_peak_6	chr1	5168876	5172855	+	55	NA	Intergenic	Intergenic	87701	ENSMUST00000192142.1	ENSMUST00000192142	ENSMUST00000192142						NA
H3K9me3_i71_peak_4369-2	chr7	30161380	30164137	+	55	NA	TTS (ENSMUST00000136508.2)	-TTS (ENSMUST00000136508.2)	6933	ENSMUST00000136508.2	ENSMUST00000136508	ENSMUST00000136508						NA
H3K9me3_i71_peak_1657	chr14	106136691	106137209	+	55	NA	Intergenic	Intergenic	30751	ENSMUST00000194236.1	ENSMUST00000194236	ENSMUST00000194236						NA
H3K9me3_i71_peak_4882	chr8	116713967	116714762	+	55	NA	intron (ENSMUST00000109102.3, intron 1 of 6)	-intron (ENSMUST00000109102.3, intron 1 of 6)	18627	ENSMUST00000109102.3	ENSMUST00000109102	ENSMUST00000109102						NA
H3K9me3_i71_peak_1758	chr15	76174058	76182361	+	55	NA	exon (ENSMUST00000023226.12, exon 32 of 32)	-exon (ENSMUST00000023226.12, exon 32 of 32)	9834	ENSMUST00000165210.7	ENSMUST00000165210	ENSMUST00000165210						NA
H3K9me3_i71_peak_4896	chr8	118920181	118921049	+	55	NA	intron (ENSMUST00000148836.7, intron 5 of 7)	-intron (ENSMUST00000117160.1, intron 5 of 13)	193715	ENSMUST00000157082.1	ENSMUST00000157082	ENSMUST00000157082						NA
H3K9me3_i71_peak_2214	chr17	56492052	56493105	+	55	NA	Intergenic	Intergenic	-16095	ENSMUST00000067538.5	ENSMUST00000067538	ENSMUST00000067538						NA
H3K9me3_i71_peak_1758-5	chr15	76174058	76182361	+	55	NA	exon (ENSMUST00000023226.12, exon 32 of 32)	-exon (ENSMUST00000023226.12, exon 32 of 32)	9834	ENSMUST00000165210.7	ENSMUST00000165210	ENSMUST00000165210						NA
H3K9me3_i71_peak_6-2	chr1	5168876	5172855	+	55	NA	Intergenic	Intergenic	87701	ENSMUST00000192142.1	ENSMUST00000192142	ENSMUST00000192142						NA
H3K9me3_i71_peak_4705	chr8	55593634	55594780	+	55	NA	Intergenic	Intergenic	61916	ENSMUST00000210122.1	ENSMUST00000210122	ENSMUST00000210122						NA
H3K9me3_i71_peak_4564	chr7	97936141	97936627	+	55	NA	intron (ENSMUST00000041860.12, intron 1 of 17)	-intron (ENSMUST00000041860.12, intron 1 of 17)	16429	ENSMUST00000041860.12	ENSMUST00000041860	ENSMUST00000041860						NA
H3K9me3_i71_peak_3301	chr4	83408275	83408538	+	55	NA	Intergenic	Intergenic	-9318	ENSMUST00000030206.9	ENSMUST00000030206	ENSMUST00000030206						NA
H3K9me3_i71_peak_503	chr10	79064374	79064739	+	55	NA	exon (ENSMUST00000039271.6, exon 6 of 6)	-exon (ENSMUST00000039271.6, exon 6 of 6)	29833	ENSMUST00000082244.2	ENSMUST00000082244	ENSMUST00000082244						NA
H3K9me3_i71_peak_280	chr1	171069416	171069944	+	55	NA	Intergenic	Intergenic	2607	ENSMUST00000183351.1	ENSMUST00000183351	ENSMUST00000183351						NA
H3K9me3_i71_peak_1758-6	chr15	76174058	76182361	+	55	NA	exon (ENSMUST00000023226.12, exon 32 of 32)	-exon (ENSMUST00000023226.12, exon 32 of 32)	9834	ENSMUST00000165210.7	ENSMUST00000165210	ENSMUST00000165210						NA
H3K9me3_i71_peak_2968	chr2	173509965	173511066	+	55	NA	Intergenic	Intergenic	-12071	ENSMUST00000029023.3	ENSMUST00000029023	ENSMUST00000029023						NA
H3K9me3_i71_peak_4106	chr6	116528200	116528728	+	55	NA	Intergenic	Intergenic	-9992	ENSMUST00000220008.1	ENSMUST00000220008	ENSMUST00000220008						NA
H3K9me3_i71_peak_2444	chr18	36961567	36962636	+	55	NA	exon (ENSMUST00000192168.1, exon 1 of 4)	-exon (ENSMUST00000192168.1, exon 1 of 4)	1661	ENSMUST00000192168.1	ENSMUST00000192168	ENSMUST00000192168						NA
H3K9me3_i71_peak_3945	chr5	142055116	142055541	+	55	NA	intron (ENSMUST00000085774.10, intron 22 of 44)	-intron (ENSMUST00000074546.6, intron 18 of 40)	198541	ENSMUST00000074546.6	ENSMUST00000074546	ENSMUST00000074546						NA
H3K9me3_i71_peak_88	chr1	37160984	37161209	+	55	NA	intron (ENSMUST00000238500.1, intron 20 of 26)	-intron (ENSMUST00000027289.13, intron 18 of 24)	7247	ENSMUST00000169057.2	ENSMUST00000169057	ENSMUST00000169057						NA
H3K9me3_i71_peak_1825	chr16	10187100	10187688	+	54	NA	intron (ENSMUST00000230210.1, intron 1 of 1)	-intron (ENSMUST00000230210.1, intron 1 of 1)	-5318	ENSMUST00000044005.13	ENSMUST00000044005	ENSMUST00000044005						NA
H3K9me3_i71_peak_3233	chr3	159349495	159349894	+	54	NA	Intergenic	Intergenic	-141724	ENSMUST00000197367.1	ENSMUST00000197367	ENSMUST00000197367						NA
H3K9me3_i71_peak_5094	chr9	93390149	93390981	+	54	NA	TTS (ENSMUST00000183322.1)	-TTS (ENSMUST00000183322.1)	1805	ENSMUST00000183322.1	ENSMUST00000183322	ENSMUST00000183322						NA
H3K9me3_i71_peak_77	chr1	34914626	34914830	+	54	NA	Intergenic	Intergenic	-13781	ENSMUST00000193847.1	ENSMUST00000193847	ENSMUST00000193847						NA
H3K9me3_i71_peak_2709	chr2	21356642	21357171	+	54	NA	intron (ENSMUST00000133391.1, intron 1 of 1)	-intron (ENSMUST00000133391.1, intron 1 of 1)	-10636	ENSMUST00000055946.7	ENSMUST00000055946	ENSMUST00000055946						NA
H3K9me3_i71_peak_5104	chr9	98883606	98883997	+	54	NA	Intergenic	Intergenic	-4410	ENSMUST00000215123.1	ENSMUST00000215123	ENSMUST00000215123						NA
H3K9me3_i71_peak_4345	chr7	29894150	29895793	+	54	NA	exon (ENSMUST00000053521.14, exon 5 of 5)	-exon (ENSMUST00000053521.14, exon 5 of 5)	3892	ENSMUST00000172448.1	ENSMUST00000172448	ENSMUST00000172448						NA
H3K9me3_i71_peak_2188	chr17	45179505	45179787	+	54	NA	Intergenic	Intergenic	-15478	ENSMUST00000233124.1	ENSMUST00000233124	ENSMUST00000233124						NA
H3K9me3_i71_peak_4080	chr6	89696772	89697372	+	54	NA	Intergenic	Intergenic	2445	ENSMUST00000173545.1	ENSMUST00000173545	ENSMUST00000173545						NA
H3K9me3_i71_peak_4973	chr9	15159764	15160324	+	54	NA	Intergenic	Intergenic	-47936	ENSMUST00000159985.1	ENSMUST00000159985	ENSMUST00000159985						NA
H3K9me3_i71_peak_2326	chr17	94797009	94797452	+	54	NA	intron (ENSMUST00000234189.1, intron 3 of 4)	-intron (ENSMUST00000182639.1, intron 3 of 3)	-5963	ENSMUST00000234672.1	ENSMUST00000234672	ENSMUST00000234672						NA
H3K9me3_i71_peak_736-2	chr11	23958726	23960085	+	54	NA	Intergenic	Intergenic	-30551	ENSMUST00000117533.1	ENSMUST00000117533	ENSMUST00000117533						NA
H3K9me3_i71_peak_607	chr10	83743099	83743502	+	54	NA	intron (ENSMUST00000218623.1, intron 1 of 4)	-intron (ENSMUST00000150459.2, intron 2 of 5)	5391	ENSMUST00000218623.1	ENSMUST00000218623	ENSMUST00000218623						NA
H3K9me3_i71_peak_4454	chr7	42591526	42591752	+	54	NA	intron (ENSMUST00000173283.1, intron 1 of 3)	-intron (ENSMUST00000173283.1, intron 1 of 3)	908	ENSMUST00000173283.1	ENSMUST00000173283	ENSMUST00000173283						NA
H3K9me3_i71_peak_64	chr1	28171089	28171485	+	54	NA	Intergenic	Intergenic	181377	ENSMUST00000189614.1	ENSMUST00000189614	ENSMUST00000189614						NA
H3K9me3_i71_peak_5111	chr9	99908476	99908905	+	54	NA	Intergenic	Intergenic	-32520	ENSMUST00000054819.9	ENSMUST00000054819	ENSMUST00000054819						NA
H3K9me3_i71_peak_736	chr11	23958726	23960085	+	54	NA	Intergenic	Intergenic	-30551	ENSMUST00000117533.1	ENSMUST00000117533	ENSMUST00000117533						NA
H3K9me3_i71_peak_374	chr10	9853501	9854196	+	54	NA	intron (ENSMUST00000141722.7, intron 4 of 25)	-intron (ENSMUST00000038213.13, intron 4 of 27)	-1699	ENSMUST00000082675.1	ENSMUST00000082675	ENSMUST00000082675						NA
H3K9me3_i71_peak_2987	chr2	179457702	179461012	+	54	NA	intron (ENSMUST00000124708.1, intron 2 of 2)	-intron (ENSMUST00000000314.12, intron 2 of 15)	15124	ENSMUST00000124708.1	ENSMUST00000124708	ENSMUST00000124708						NA
H3K9me3_i71_peak_1371	chr13	62779995	62780585	+	54	NA	TTS (ENSMUST00000116696.1)	-TTS (ENSMUST00000116696.1)	696	ENSMUST00000116696.1	ENSMUST00000116696	ENSMUST00000116696						NA
H3K9me3_i71_peak_4604	chr7	143250561	143251435	+	54	NA	promoter-TSS (ENSMUST00000183938.1)	-promoter-TSS (ENSMUST00000183938.1)	-369	ENSMUST00000183938.1	ENSMUST00000183938	ENSMUST00000183938						NA
H3K9me3_i71_peak_51	chr1	17949040	17949364	+	54	NA	TTS (ENSMUST00000190885.1)	-TTS (ENSMUST00000190885.1)	2161	ENSMUST00000190885.1	ENSMUST00000190885	ENSMUST00000190885						NA
H3K9me3_i71_peak_496	chr10	77842939	77843490	+	54	NA	intron (ENSMUST00000092366.3, intron 2 of 11)	-intron (ENSMUST00000092366.3, intron 2 of 11)	-3589	ENSMUST00000218749.1	ENSMUST00000218749	ENSMUST00000218749						NA
H3K9me3_i71_peak_362	chr10	7095314	7095884	+	54	NA	Intergenic	Intergenic	39907	ENSMUST00000150282.1	ENSMUST00000150282	ENSMUST00000150282						NA
H3K9me3_i71_peak_2087	chr17	22442499	22443086	+	54	NA	intron (ENSMUST00000141831.7, intron 2 of 2)	-intron (ENSMUST00000088763.12, intron 2 of 6)	-8331	ENSMUST00000167740.1	ENSMUST00000167740	ENSMUST00000167740						NA
H3K9me3_i71_peak_4277	chr7	24092662	24093184	+	54	NA	intron (ENSMUST00000206184.1, intron 3 of 5)	-intron (ENSMUST00000068975.5, intron 2 of 4)	-4343	ENSMUST00000206482.1	ENSMUST00000206482	ENSMUST00000206482						NA
H3K9me3_i71_peak_2723	chr2	33778254	33779955	+	54	NA	intron (ENSMUST00000041555.9, intron 7 of 9)	-intron (ENSMUST00000041555.9, intron 7 of 9)	9655	ENSMUST00000195203.1	ENSMUST00000195203	ENSMUST00000195203						NA
H3K9me3_i71_peak_2430	chr18	36902328	36903000	+	54	NA	Intergenic	Intergenic	-17732	ENSMUST00000180647.1	ENSMUST00000180647	ENSMUST00000180647						NA
H3K9me3_i71_peak_4092	chr6	97085728	97085946	+	54	NA	Intergenic	Intergenic	-25424	ENSMUST00000089295.5	ENSMUST00000089295	ENSMUST00000089295						NA
H3K9me3_i71_peak_1617	chr14	46346889	46347128	+	54	NA	Intergenic	Intergenic	-32406	ENSMUST00000141358.1	ENSMUST00000141358	ENSMUST00000141358						NA
H3K9me3_i71_peak_4384	chr7	33404432	33404712	+	54	NA	TTS (ENSMUST00000182596.1)	-TTS (ENSMUST00000182596.1)	1753	ENSMUST00000182596.1	ENSMUST00000182596	ENSMUST00000182596						NA
H3K9me3_i71_peak_4404	chr7	39472867	39474731	+	53	NA	exon (ENSMUST00000061201.11, exon 3 of 3)	-exon (ENSMUST00000061201.11, exon 3 of 3)	13983	ENSMUST00000061201.11	ENSMUST00000061201	ENSMUST00000061201						NA
H3K9me3_i71_peak_2018	chr17	21041118	21042467	+	53	NA	TTS (ENSMUST00000232663.1)	-TTS (ENSMUST00000232663.1)	18984	ENSMUST00000189217.1	ENSMUST00000189217	ENSMUST00000189217						NA
H3K9me3_i71_peak_4649	chr8	30984658	30984870	+	53	NA	Intergenic	Intergenic	-19144	ENSMUST00000211579.1	ENSMUST00000211579	ENSMUST00000211579						NA
H3K9me3_i71_peak_823	chr11	62777038	62777373	+	53	NA	TTS (ENSMUST00000082758.1)	-TTS (ENSMUST00000082758.1)	220	ENSMUST00000082758.1	ENSMUST00000082758	ENSMUST00000082758						NA
H3K9me3_i71_peak_5006	chr9	22248990	22249991	+	53	NA	exon (ENSMUST00000086281.4, exon 5 of 5)	-exon (ENSMUST00000086281.4, exon 5 of 5)	10405	ENSMUST00000086281.4	ENSMUST00000086281	ENSMUST00000086281						NA
H3K9me3_i71_peak_135	chr1	75893751	75893954	+	53	NA	Intergenic	Intergenic	124904	ENSMUST00000188786.1	ENSMUST00000188786	ENSMUST00000188786						NA
H3K9me3_i71_peak_313	chr1	179437380	179438058	+	53	NA	intron (ENSMUST00000128302.7, intron 1 of 11)	-intron (ENSMUST00000111134.1, intron 1 of 5)	-32300	ENSMUST00000125756.1	ENSMUST00000125756	ENSMUST00000125756						NA
H3K9me3_i71_peak_2417	chr18	36878480	36878819	+	53	NA	Intergenic	Intergenic	-41747	ENSMUST00000180647.1	ENSMUST00000180647	ENSMUST00000180647						NA
H3K9me3_i71_peak_2839	chr2	127567819	127568207	+	53	NA	TTS (ENSMUST00000121178.1)	-TTS (ENSMUST00000121178.1)	1413	ENSMUST00000121178.1	ENSMUST00000121178	ENSMUST00000121178						NA
H3K9me3_i71_peak_4336	chr7	29877136	29878214	+	53	NA	TTS (ENSMUST00000057652.6)	-TTS (ENSMUST00000057652.6)	5151	ENSMUST00000130272.1	ENSMUST00000130272	ENSMUST00000130272						NA
H3K9me3_i71_peak_727	chr11	20411053	20411502	+	53	NA	Intergenic	Intergenic	-35135	ENSMUST00000119032.1	ENSMUST00000119032	ENSMUST00000119032						NA
H3K9me3_i71_peak_1864	chr16	36443533	36444046	+	53	NA	Intergenic	Intergenic	5145	ENSMUST00000158492.1	ENSMUST00000158492	ENSMUST00000158492						NA
H3K9me3_i71_peak_4714	chr8	67368925	67369307	+	53	NA	Intergenic	Intergenic	-4112	ENSMUST00000148610.1	ENSMUST00000148610	ENSMUST00000148610						NA
H3K9me3_i71_peak_2587	chr18	73883675	73883917	+	53	NA	Intergenic	Intergenic	20124	ENSMUST00000134847.1	ENSMUST00000134847	ENSMUST00000134847						NA
H3K9me3_i71_peak_257	chr1	156370652	156370866	+	53	NA	intron (ENSMUST00000213088.1, intron 15 of 24)	-intron (ENSMUST00000027895.7, intron 10 of 10)	4719	ENSMUST00000102782.3	ENSMUST00000102782	ENSMUST00000102782						NA
H3K9me3_i71_peak_2297	chr17	85288519	85289042	+	53	NA	intron (ENSMUST00000095188.6, intron 3 of 10)	-intron (ENSMUST00000095188.6, intron 3 of 10)	196697	ENSMUST00000234501.1	ENSMUST00000234501	ENSMUST00000234501						NA
H3K9me3_i71_peak_4011	chr6	14673622	14673869	+	53	NA	Intergenic	Intergenic	81529	ENSMUST00000045096.5	ENSMUST00000045096	ENSMUST00000045096						NA
H3K9me3_i71_peak_2122	chr17	22794767	22795101	+	53	NA	intron (ENSMUST00000233975.1, intron 1 of 1)	-intron (ENSMUST00000233975.1, intron 1 of 1)	12802	ENSMUST00000233975.1	ENSMUST00000233975	ENSMUST00000233975						NA
H3K9me3_i71_peak_1133	chr12	75000979	75001339	+	53	NA	intron (ENSMUST00000042299.3, intron 8 of 10)	-intron (ENSMUST00000042299.3, intron 8 of 10)	158406	ENSMUST00000221473.1	ENSMUST00000221473	ENSMUST00000221473						NA
H3K9me3_i71_peak_4236	chr7	13706412	13706793	+	53	NA	Intergenic	Intergenic	13304	ENSMUST00000191236.1	ENSMUST00000191236	ENSMUST00000191236						NA
H3K9me3_i71_peak_3023	chr3	12859041	12859326	+	52	NA	TTS (ENSMUST00000066794.8)	-TTS (ENSMUST00000066794.8)	3163	ENSMUST00000105727.3	ENSMUST00000105727	ENSMUST00000105727						NA
H3K9me3_i71_peak_249	chr1	150308526	150308815	+	52	NA	Intergenic	Intergenic	-10747	ENSMUST00000165062.7	ENSMUST00000165062	ENSMUST00000165062						NA
H3K9me3_i71_peak_4362	chr7	30148301	30150863	+	52	NA	Intergenic	Intergenic	-2259	ENSMUST00000209150.1	ENSMUST00000209150	ENSMUST00000209150						NA
H3K9me3_i71_peak_951	chr12	17891102	17891428	+	52	NA	Intergenic	Intergenic	4207	ENSMUST00000222538.1	ENSMUST00000222538	ENSMUST00000222538						NA
H3K9me3_i71_peak_873	chr11	109000397	109001342	+	52	NA	Intergenic	Intergenic	-6782	ENSMUST00000119655.1	ENSMUST00000119655	ENSMUST00000119655						NA
H3K9me3_i71_peak_4673	chr8	48196012	48196416	+	52	NA	Intergenic	Intergenic	74771	ENSMUST00000212653.1	ENSMUST00000212653	ENSMUST00000212653						NA
H3K9me3_i71_peak_3619	chr5	31390123	31390357	+	52	NA	Intergenic	Intergenic	-33445	ENSMUST00000200995.1	ENSMUST00000200995	ENSMUST00000200995						NA
H3K9me3_i71_peak_3283	chr4	62193097	62194472	+	52	NA	intron (ENSMUST00000222748.1, intron 3 of 3)	-intron (ENSMUST00000068822.3, intron 3 of 3)	14105	ENSMUST00000220873.1	ENSMUST00000220873	ENSMUST00000220873						NA
H3K9me3_i71_peak_4691	chr8	48394162	48394531	+	52	NA	intron (ENSMUST00000211976.1, intron 2 of 2)	-intron (ENSMUST00000033965.13, intron 4 of 28)	-94247	ENSMUST00000145344.1	ENSMUST00000145344	ENSMUST00000145344						NA
H3K9me3_i71_peak_2618	chr18	75791262	75791682	+	52	NA	Intergenic	Intergenic	10440	ENSMUST00000180957.1	ENSMUST00000180957	ENSMUST00000180957						NA
H3K9me3_i71_peak_3228	chr3	154031147	154031578	+	52	NA	intron (ENSMUST00000089948.5, intron 1 of 21)	-intron (ENSMUST00000089948.5, intron 1 of 21)	57926	ENSMUST00000089948.5	ENSMUST00000089948	ENSMUST00000089948						NA
H3K9me3_i71_peak_2638	chr19	8039387	8040122	+	52	NA	Intergenic	Intergenic	63914	ENSMUST00000236487.1	ENSMUST00000236487	ENSMUST00000236487						NA
H3K9me3_i71_peak_2400	chr18	24002571	24003340	+	52	NA	exon (ENSMUST00000074941.7, exon 3 of 3)	-exon (ENSMUST00000074941.7, exon 3 of 3)	13323	ENSMUST00000074941.7	ENSMUST00000074941	ENSMUST00000074941						NA
H3K9me3_i71_peak_2450-2	chr18	37021335	37022586	+	52	NA	exon (ENSMUST00000047614.3, exon 1 of 4)	-exon (ENSMUST00000047614.3, exon 1 of 4)	-1281	ENSMUST00000097612.3	ENSMUST00000097612	ENSMUST00000097612						NA
H3K9me3_i71_peak_4005	chr6	8246272	8246853	+	52	NA	Intergenic	Intergenic	12578	ENSMUST00000159594.1	ENSMUST00000159594	ENSMUST00000159594						NA
H3K9me3_i71_peak_3378	chr4	145470007	145470364	+	52	NA	promoter-TSS (ENSMUST00000118238.1)	-promoter-TSS (ENSMUST00000118238.1)	-135	ENSMUST00000118238.1	ENSMUST00000118238	ENSMUST00000118238						NA
H3K9me3_i71_peak_2450	chr18	37021335	37022586	+	52	NA	exon (ENSMUST00000047614.3, exon 1 of 4)	-exon (ENSMUST00000047614.3, exon 1 of 4)	-1281	ENSMUST00000097612.3	ENSMUST00000097612	ENSMUST00000097612						NA
H3K9me3_i71_peak_4245	chr7	15279252	15280453	+	52	NA	Intergenic	Intergenic	9338	ENSMUST00000184613.1	ENSMUST00000184613	ENSMUST00000184613						NA
H3K9me3_i71_peak_795	chr11	51149383	51149963	+	52	NA	Intergenic	Intergenic	7141	ENSMUST00000120114.1	ENSMUST00000120114	ENSMUST00000120114						NA
H3K9me3_i71_peak_246	chr1	149513419	149513681	+	52	NA	Intergenic	Intergenic	-63599	ENSMUST00000191253.6	ENSMUST00000191253	ENSMUST00000191253						NA
H3K9me3_i71_peak_3283-2	chr4	62193097	62194472	+	52	NA	intron (ENSMUST00000222748.1, intron 3 of 3)	-intron (ENSMUST00000068822.3, intron 3 of 3)	14105	ENSMUST00000220873.1	ENSMUST00000220873	ENSMUST00000220873						NA
H3K9me3_i71_peak_5219	chrX	8324992	8325358	+	52	NA	Intergenic	Intergenic	-2249	ENSMUST00000103003.3	ENSMUST00000103003	ENSMUST00000103003						NA
H3K9me3_i71_peak_4487	chr7	42982385	42983425	+	52	NA	Intergenic	Intergenic	24554	ENSMUST00000102235.1	ENSMUST00000102235	ENSMUST00000102235						NA
H3K9me3_i71_peak_602	chr10	83450741	83451092	+	52	NA	exon (ENSMUST00000020488.8, exon 4 of 4)	-exon (ENSMUST00000020488.8, exon 4 of 4)	45101	ENSMUST00000147381.1	ENSMUST00000147381	ENSMUST00000147381						NA
H3K9me3_i71_peak_2548	chr18	69447997	69448979	+	52	NA	intron (ENSMUST00000202458.3, intron 1 of 17)	-intron (ENSMUST00000066717.11, intron 4 of 20)	32591	ENSMUST00000202458.3	ENSMUST00000202458	ENSMUST00000202458						NA
H3K9me3_i71_peak_4362-2	chr7	30148301	30150863	+	52	NA	Intergenic	Intergenic	-2259	ENSMUST00000209150.1	ENSMUST00000209150	ENSMUST00000209150						NA
H3K9me3_i71_peak_3695	chr5	100723311	100724419	+	52	NA	Intergenic	Intergenic	-4149	ENSMUST00000045617.14	ENSMUST00000045617	ENSMUST00000045617						NA
H3K9me3_i71_peak_1285	chr13	51042214	51042427	+	52	NA	Intergenic	Intergenic	28234	ENSMUST00000122660.2	ENSMUST00000122660	ENSMUST00000122660						NA
H3K9me3_i71_peak_5157-2	chr9	120607851	120609042	+	52	NA	Intergenic	Intergenic	6302	ENSMUST00000216606.1	ENSMUST00000216606	ENSMUST00000216606						NA
H3K9me3_i71_peak_4837	chr8	114794435	114794781	+	52	NA	intron (ENSMUST00000004756.13, intron 8 of 8)	-intron (ENSMUST00000004756.13, intron 8 of 8)	82441	ENSMUST00000159870.1	ENSMUST00000159870	ENSMUST00000159870						NA
H3K9me3_i71_peak_5116	chr9	103852162	103852827	+	52	NA	Intergenic	Intergenic	-35515	ENSMUST00000187540.2	ENSMUST00000187540	ENSMUST00000187540						NA
H3K9me3_i71_peak_3482	chr4	147489815	147490624	+	52	NA	Intergenic	Intergenic	-2198	ENSMUST00000105721.8	ENSMUST00000105721	ENSMUST00000105721						NA
H3K9me3_i71_peak_1158	chr12	98592902	98593483	+	52	NA	Intergenic	Intergenic	-5841	ENSMUST00000158726.1	ENSMUST00000158726	ENSMUST00000158726						NA
H3K9me3_i71_peak_1156	chr12	96646496	96646801	+	52	NA	Intergenic	Intergenic	-15666	ENSMUST00000218365.1	ENSMUST00000218365	ENSMUST00000218365						NA
H3K9me3_i71_peak_4327	chr7	29735372	29735984	+	52	NA	Intergenic	Intergenic	1746	ENSMUST00000083725.1	ENSMUST00000083725	ENSMUST00000083725						NA
H3K9me3_i71_peak_2599	chr18	74336884	74337694	+	52	NA	intron (ENSMUST00000176435.7, intron 8 of 8)	-intron (ENSMUST00000114895.3, intron 7 of 7)	-11697	ENSMUST00000177407.1	ENSMUST00000177407	ENSMUST00000177407						NA
H3K9me3_i71_peak_2552	chr18	69453962	69454770	+	52	NA	intron (ENSMUST00000202458.3, intron 1 of 17)	-intron (ENSMUST00000066717.11, intron 4 of 20)	38469	ENSMUST00000202458.3	ENSMUST00000202458	ENSMUST00000202458						NA
H3K9me3_i71_peak_2160	chr17	33334397	33335908	+	52	NA	exon (ENSMUST00000234016.1, exon 3 of 3)	-exon (ENSMUST00000234016.1, exon 3 of 3)	23716	ENSMUST00000235063.1	ENSMUST00000235063	ENSMUST00000235063						NA
H3K9me3_i71_peak_2172	chr17	34825824	34827193	+	52	NA	promoter-TSS (ENSMUST00000160193.1)	-promoter-TSS (ENSMUST00000160193.1)	-57	ENSMUST00000162954.1	ENSMUST00000162954	ENSMUST00000162954						NA
H3K9me3_i71_peak_4719	chr8	69225586	69226520	+	52	NA	promoter-TSS (ENSMUST00000110216.1)	-promoter-TSS (ENSMUST00000110216.1)	-261	ENSMUST00000212090.1	ENSMUST00000212090	ENSMUST00000212090						NA
H3K9me3_i71_peak_4221	chr7	12813297	12813566	+	52	NA	intron (ENSMUST00000121215.1, intron 1 of 3)	-intron (ENSMUST00000072222.7, intron 1 of 1)	-5356	ENSMUST00000129647.1	ENSMUST00000129647	ENSMUST00000129647						NA
H3K9me3_i71_peak_2727	chr2	36364054	36364694	+	52	NA	Intergenic	Intergenic	-9145	ENSMUST00000072114.3	ENSMUST00000072114	ENSMUST00000072114						NA
H3K9me3_i71_peak_5157	chr9	120607851	120609042	+	52	NA	Intergenic	Intergenic	6302	ENSMUST00000216606.1	ENSMUST00000216606	ENSMUST00000216606						NA
H3K9me3_i71_peak_3505	chr4	147751760	147752107	+	51	NA	Intergenic	Intergenic	-5372	ENSMUST00000118892.1	ENSMUST00000118892	ENSMUST00000118892						NA
H3K9me3_i71_peak_4731	chr8	69300956	69301161	+	51	NA	intron (ENSMUST00000212549.1, intron 5 of 5)	-intron (ENSMUST00000078257.6, intron 1 of 1)	282	ENSMUST00000078257.6	ENSMUST00000078257	ENSMUST00000078257						NA
H3K9me3_i71_peak_4368	chr7	30160822	30161027	+	51	NA	TTS (ENSMUST00000062181.8)	-TTS (ENSMUST00000062181.8)	8767	ENSMUST00000136508.2	ENSMUST00000136508	ENSMUST00000136508						NA
H3K9me3_i71_peak_2177	chr17	38354567	38356433	+	51	NA	Intergenic	Intergenic	20341	ENSMUST00000077203.2	ENSMUST00000077203	ENSMUST00000077203						NA
H3K9me3_i71_peak_5261	chrY	11858082	11858289	+	51	NA	Intergenic	Intergenic	-56947	ENSMUST00000190090.1	ENSMUST00000190090	ENSMUST00000190090						NA
H3K9me3_i71_peak_2228	chr17	65754967	65755171	+	51	NA	intron (ENSMUST00000233258.1, intron 1 of 2)	-intron (ENSMUST00000070673.8, intron 1 of 6)	17571	ENSMUST00000233258.1	ENSMUST00000233258	ENSMUST00000233258						NA
H3K9me3_i71_peak_1618	chr14	46348748	46348967	+	51	NA	Intergenic	Intergenic	-30557	ENSMUST00000141358.1	ENSMUST00000141358	ENSMUST00000141358						NA
H3K9me3_i71_peak_4299	chr7	27883564	27884303	+	51	NA	exon (ENSMUST00000206136.1, exon 1 of 1)	-exon (ENSMUST00000206136.1, exon 1 of 1)	577	ENSMUST00000206136.1	ENSMUST00000206136	ENSMUST00000206136						NA
H3K9me3_i71_peak_3445	chr4	146948415	146948686	+	51	NA	promoter-TSS (ENSMUST00000122071.1)	-promoter-TSS (ENSMUST00000122071.1)	-52	ENSMUST00000122071.1	ENSMUST00000122071	ENSMUST00000122071						NA
H3K9me3_i71_peak_1638	chr14	71218352	71218600	+	51	NA	Intergenic	Intergenic	-32797	ENSMUST00000228402.1	ENSMUST00000228402	ENSMUST00000228402						NA
H3K9me3_i71_peak_4308	chr7	27984963	27985574	+	51	NA	exon (ENSMUST00000099111.3, exon 1 of 1)	-exon (ENSMUST00000099111.3, exon 1 of 1)	528	ENSMUST00000099111.3	ENSMUST00000099111	ENSMUST00000099111						NA
