PeakID (cmd=annotatePeaks.pl overlapped_H3K27ac.bed /media/dimbo/10T/data/talianidis_data/genomes/mm10/hisat_index/mm10.fa -gtf /media/dimbo/10T/data/talianidis_data/genomes/mm10/genes_info/mm10_GENES_GENCODE.VM23.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
H3K27ac_i73_peak_311	chr1	125560222	125560960	+	56	NA	promoter-TSS (ENSMUST00000027580.10)	-promoter-TSS (ENSMUST00000027580.10)	-4	ENSMUST00000190037.6	ENSMUST00000190037	ENSMUST00000190037						NA
H3K27ac_i73_peak_6985	chr4	138455808	138456417	+	56	NA	intron (ENSMUST00000050918.3, intron 1 of 1)	-intron (ENSMUST00000050918.3, intron 1 of 1)	1798	ENSMUST00000050918.3	ENSMUST00000050918	ENSMUST00000050918						NA
H3K27ac_i73_peak_7668	chr5	139332525	139333074	+	56	NA	Intergenic	Intergenic	6776	ENSMUST00000145125.1	ENSMUST00000145125	ENSMUST00000145125						NA
H3K27ac_i73_peak_8074	chr6	90397456	90397660	+	56	NA	intron (ENSMUST00000075117.9, intron 7 of 9)	-intron (ENSMUST00000075117.9, intron 7 of 9)	10751	ENSMUST00000203368.1	ENSMUST00000203368	ENSMUST00000203368						NA
H3K27ac_i73_peak_4039	chr16	93929292	93930194	+	56	NA	promoter-TSS (ENSMUST00000137163.1)	-promoter-TSS (ENSMUST00000137163.1)	74	ENSMUST00000169391.7	ENSMUST00000169391	ENSMUST00000169391						NA
H3K27ac_i73_peak_9912	chr9	43261406	43264311	+	56	NA	intron (ENSMUST00000179013.3, intron 1 of 2)	-intron (ENSMUST00000179013.3, intron 1 of 2)	-1275	ENSMUST00000210588.1	ENSMUST00000210588	ENSMUST00000210588						NA
H3K27ac_i73_peak_1798	chr11	103027930	103028661	+	56	NA	promoter-TSS (ENSMUST00000021314.7)	-promoter-TSS (ENSMUST00000021314.7)	9	ENSMUST00000155490.2	ENSMUST00000155490	ENSMUST00000155490						NA
H3K27ac_i73_peak_2463	chr13	34053662	34055306	+	56	NA	intron (ENSMUST00000222658.1, intron 3 of 4)	-intron (ENSMUST00000040656.7, intron 4 of 6)	5279	ENSMUST00000220717.1	ENSMUST00000220717	ENSMUST00000220717						NA
H3K27ac_i73_peak_5470	chr2	32714592	32715522	+	56	NA	Intergenic	Intergenic	-1981	ENSMUST00000123170.7	ENSMUST00000123170	ENSMUST00000123170						NA
H3K27ac_i73_peak_9243	chr8	14994408	14994786	+	56	NA	intron (ENSMUST00000163062.1, intron 17 of 18)	-intron (ENSMUST00000084207.11, intron 27 of 28)	-1539	ENSMUST00000162636.1	ENSMUST00000162636	ENSMUST00000162636						NA
H3K27ac_i73_peak_7810	chr6	29513350	29513627	+	56	NA	Intergenic	Intergenic	-5536	ENSMUST00000161237.1	ENSMUST00000161237	ENSMUST00000161237						NA
H3K27ac_i73_peak_2299	chr12	100778674	100779993	+	56	NA	intron (ENSMUST00000154603.7, intron 1 of 3)	-intron (ENSMUST00000069782.10, intron 1 of 12)	197	ENSMUST00000154603.7	ENSMUST00000154603	ENSMUST00000154603						NA
H3K27ac_i73_peak_2661	chr13	73755876	73756249	+	56	NA	intron (ENSMUST00000222742.1, intron 1 of 10)	-intron (ENSMUST00000222742.1, intron 1 of 10)	-7635	ENSMUST00000017900.8	ENSMUST00000017900	ENSMUST00000017900						NA
H3K27ac_i73_peak_3036	chr14	65873294	65873601	+	56	NA	Intergenic	Intergenic	36087	ENSMUST00000226027.1	ENSMUST00000226027	ENSMUST00000226027						NA
H3K27ac_i73_peak_1031	chr10	94068895	94069156	+	56	NA	intron (ENSMUST00000020208.4, intron 2 of 20)	-intron (ENSMUST00000020208.4, intron 2 of 20)	-3517	ENSMUST00000141143.1	ENSMUST00000141143	ENSMUST00000141143						NA
H3K27ac_i73_peak_939	chr10	80584251	80585160	+	56	NA	intron (ENSMUST00000191440.6, intron 3 of 3)	-intron (ENSMUST00000003436.11, intron 3 of 4)	1919	ENSMUST00000189605.1	ENSMUST00000189605	ENSMUST00000189605						NA
H3K27ac_i73_peak_3503	chr15	81514296	81514650	+	56	NA	Intergenic	Intergenic	-14928	ENSMUST00000172270.2	ENSMUST00000172270	ENSMUST00000172270						NA
H3K27ac_i73_peak_7470	chr5	112293086	112293650	+	56	NA	intron (ENSMUST00000151947.1, intron 1 of 2)	-intron (ENSMUST00000031287.10, intron 1 of 6)	4606	ENSMUST00000151947.1	ENSMUST00000151947	ENSMUST00000151947						NA
H3K27ac_i73_peak_9912-2	chr9	43261406	43264311	+	56	NA	intron (ENSMUST00000179013.3, intron 1 of 2)	-intron (ENSMUST00000179013.3, intron 1 of 2)	-1275	ENSMUST00000210588.1	ENSMUST00000210588	ENSMUST00000210588						NA
H3K27ac_i73_peak_9155	chr7	141468489	141469040	+	56	NA	promoter-TSS (ENSMUST00000058746.6)	-promoter-TSS (ENSMUST00000058746.6)	-58	ENSMUST00000058746.6	ENSMUST00000058746	ENSMUST00000058746						NA
H3K27ac_i73_peak_3441	chr15	78455093	78455830	+	56	NA	intron (ENSMUST00000230226.1, intron 6 of 17)	-intron (ENSMUST00000017086.4, intron 6 of 17)	9882	ENSMUST00000229516.1	ENSMUST00000229516	ENSMUST00000229516						NA
H3K27ac_i73_peak_4039-2	chr16	93929292	93930194	+	56	NA	promoter-TSS (ENSMUST00000137163.1)	-promoter-TSS (ENSMUST00000137163.1)	74	ENSMUST00000169391.7	ENSMUST00000169391	ENSMUST00000169391						NA
H3K27ac_i73_peak_739	chr10	31608343	31608582	+	56	NA	exon (ENSMUST00000081989.7, exon 1 of 6)	-exon (ENSMUST00000081989.7, exon 1 of 6)	722	ENSMUST00000081989.7	ENSMUST00000081989	ENSMUST00000081989						NA
H3K27ac_i73_peak_6610	chr4	46534679	46534982	+	56	NA	promoter-TSS (ENSMUST00000136978.7)	-promoter-TSS (ENSMUST00000136978.7)	-226	ENSMUST00000142606.1	ENSMUST00000142606	ENSMUST00000142606						NA
H3K27ac_i73_peak_4696	chr18	36678386	36678693	+	56	NA	promoter-TSS (ENSMUST00000186538.6)	-promoter-TSS (ENSMUST00000186538.6)	30	ENSMUST00000238112.1	ENSMUST00000238112	ENSMUST00000238112						NA
H3K27ac_i73_peak_5212	chr19	57200503	57200826	+	56	NA	intron (ENSMUST00000156316.7, intron 1 of 20)	-intron (ENSMUST00000079360.11, intron 1 of 25)	-3033	ENSMUST00000099294.8	ENSMUST00000099294	ENSMUST00000099294						NA
H3K27ac_i73_peak_4493	chr17	84056956	84057299	+	56	NA	Intergenic	Intergenic	20237	ENSMUST00000234723.1	ENSMUST00000234723	ENSMUST00000234723						NA
H3K27ac_i73_peak_9130	chr7	141011284	141011888	+	56	NA	promoter-TSS (ENSMUST00000026565.6)	-promoter-TSS (ENSMUST00000026565.6)	-816	ENSMUST00000026565.6	ENSMUST00000026565	ENSMUST00000026565						NA
H3K27ac_i73_peak_10196	chr9	102779471	102779952	+	56	NA	intron (ENSMUST00000217446.1, intron 1 of 4)	-intron (ENSMUST00000217446.1, intron 1 of 4)	8216	ENSMUST00000217446.1	ENSMUST00000217446	ENSMUST00000217446						NA
H3K27ac_i73_peak_9912-3	chr9	43261406	43264311	+	56	NA	intron (ENSMUST00000179013.3, intron 1 of 2)	-intron (ENSMUST00000179013.3, intron 1 of 2)	-1275	ENSMUST00000210588.1	ENSMUST00000210588	ENSMUST00000210588						NA
H3K27ac_i73_peak_9529	chr8	94365253	94366001	+	56	NA	intron (ENSMUST00000034218.4, intron 24 of 24)	-intron (ENSMUST00000034218.4, intron 24 of 24)	9316	ENSMUST00000211905.1	ENSMUST00000211905	ENSMUST00000211905						NA
H3K27ac_i73_peak_2659	chr13	73331110	73331513	+	56	NA	intron (ENSMUST00000222030.1, intron 1 of 1)	-intron (ENSMUST00000022098.9, intron 1 of 1)	285	ENSMUST00000222030.1	ENSMUST00000222030	ENSMUST00000222030						NA
H3K27ac_i73_peak_3144	chr15	9071894	9072314	+	56	NA	intron (ENSMUST00000227682.1, intron 1 of 5)	-intron (ENSMUST00000067760.10, intron 1 of 13)	417	ENSMUST00000190874.6	ENSMUST00000190874	ENSMUST00000190874						NA
H3K27ac_i73_peak_498	chr1	165765183	165765398	+	56	NA	intron (ENSMUST00000140769.1, intron 2 of 4)	-intron (ENSMUST00000111432.9, intron 1 of 3)	1544	ENSMUST00000140769.1	ENSMUST00000140769	ENSMUST00000140769						NA
H3K27ac_i73_peak_5468	chr2	32703189	32704332	+	56	NA	intron (ENSMUST00000146498.7, intron 2 of 9)	-intron (ENSMUST00000127812.2, intron 2 of 8)	271	ENSMUST00000143743.1	ENSMUST00000143743	ENSMUST00000143743						NA
H3K27ac_i73_peak_9362	chr8	61584935	61585462	+	56	NA	intron (ENSMUST00000121785.8, intron 10 of 21)	-intron (ENSMUST00000034057.13, intron 10 of 19)	5941	ENSMUST00000135439.1	ENSMUST00000135439	ENSMUST00000135439						NA
H3K27ac_i73_peak_859	chr10	75790878	75791140	+	56	NA	intron (ENSMUST00000139724.2, intron 3 of 3)	-intron (ENSMUST00000001713.9, intron 3 of 4)	6560	ENSMUST00000120177.7	ENSMUST00000120177	ENSMUST00000120177						NA
H3K27ac_i73_peak_1434	chr11	58092514	58093179	+	56	NA	intron (ENSMUST00000219877.1, intron 1 of 8)	-intron (ENSMUST00000218429.1, intron 1 of 8)	288	ENSMUST00000218429.1	ENSMUST00000218429	ENSMUST00000218429						NA
H3K27ac_i73_peak_6234	chr3	89299504	89299725	+	56	NA	Intergenic	Intergenic	-2864	ENSMUST00000175352.2	ENSMUST00000175352	ENSMUST00000175352						NA
H3K27ac_i73_peak_951	chr10	80677849	80678779	+	56	NA	promoter-TSS (ENSMUST00000199949.1)	-promoter-TSS (ENSMUST00000199949.1)	-202	ENSMUST00000199949.1	ENSMUST00000199949	ENSMUST00000199949						NA
H3K27ac_i73_peak_4473	chr17	80786863	80787276	+	56	NA	Intergenic	Intergenic	-58584	ENSMUST00000234249.1	ENSMUST00000234249	ENSMUST00000234249						NA
H3K27ac_i73_peak_6944-2	chr4	134758387	134761264	+	56	NA	intron (ENSMUST00000037828.7, intron 1 of 8)	-intron (ENSMUST00000037828.7, intron 1 of 8)	8199	ENSMUST00000037828.7	ENSMUST00000037828	ENSMUST00000037828						NA
H3K27ac_i73_peak_8809	chr7	80078699	80079328	+	56	NA	intron (ENSMUST00000206104.1, intron 1 of 1)	-intron (ENSMUST00000049680.9, intron 1 of 4)	-3746	ENSMUST00000206022.1	ENSMUST00000206022	ENSMUST00000206022						NA
H3K27ac_i73_peak_3756	chr16	4828673	4828999	+	56	NA	Intergenic	Intergenic	-6580	ENSMUST00000177042.7	ENSMUST00000177042	ENSMUST00000177042						NA
H3K27ac_i73_peak_9285	chr8	33987663	33988151	+	56	NA	promoter-TSS (ENSMUST00000212738.1)	-promoter-TSS (ENSMUST00000212738.1)	-707	ENSMUST00000212738.1	ENSMUST00000212738	ENSMUST00000212738						NA
H3K27ac_i73_peak_1211	chr11	4703816	4704310	+	56	NA	promoter-TSS (ENSMUST00000009220.4)	-promoter-TSS (ENSMUST00000009220.4)	-10	ENSMUST00000130236.1	ENSMUST00000130236	ENSMUST00000130236						NA
H3K27ac_i73_peak_1718	chr11	97435827	97436606	+	56	NA	promoter-TSS (ENSMUST00000152933.1)	-promoter-TSS (ENSMUST00000152933.1)	-69	ENSMUST00000152933.1	ENSMUST00000152933	ENSMUST00000152933						NA
H3K27ac_i73_peak_7978	chr6	72271132	72271515	+	56	NA	Intergenic	Intergenic	-33287	ENSMUST00000183018.7	ENSMUST00000183018	ENSMUST00000183018						NA
H3K27ac_i73_peak_5289	chr2	25078982	25079236	+	56	NA	Intergenic	Intergenic	-1195	ENSMUST00000135004.1	ENSMUST00000135004	ENSMUST00000135004						NA
H3K27ac_i73_peak_5670	chr2	103714517	103715011	+	56	NA	promoter-TSS (ENSMUST00000131122.1)	-promoter-TSS (ENSMUST00000131122.1)	-271	ENSMUST00000138580.1	ENSMUST00000138580	ENSMUST00000138580						NA
H3K27ac_i73_peak_3421	chr15	77855415	77855759	+	56	NA	Intergenic	Intergenic	-13412	ENSMUST00000016771.12	ENSMUST00000016771	ENSMUST00000016771						NA
H3K27ac_i73_peak_5978	chr2	167335075	167335903	+	56	NA	intron (ENSMUST00000109221.8, intron 1 of 8)	-intron (ENSMUST00000109221.8, intron 1 of 8)	13694	ENSMUST00000109221.8	ENSMUST00000109221	ENSMUST00000109221						NA
H3K27ac_i73_peak_2936	chr14	40958655	40959399	+	56	NA	intron (ENSMUST00000047652.5, intron 1 of 8)	-intron (ENSMUST00000047652.5, intron 1 of 8)	7780	ENSMUST00000047652.5	ENSMUST00000047652	ENSMUST00000047652						NA
H3K27ac_i73_peak_4559	chr17	87290970	87291422	+	56	NA	intron (ENSMUST00000144204.7, intron 2 of 16)	-intron (ENSMUST00000041110.11, intron 2 of 19)	-1615	ENSMUST00000154255.7	ENSMUST00000154255	ENSMUST00000154255						NA
H3K27ac_i73_peak_10174	chr9	94533692	94533940	+	56	NA	intron (ENSMUST00000113028.1, intron 1 of 2)	-intron (ENSMUST00000113028.1, intron 1 of 2)	4265	ENSMUST00000113028.1	ENSMUST00000113028	ENSMUST00000113028						NA
H3K27ac_i73_peak_467	chr1	156074612	156074907	+	56	NA	Intergenic	Intergenic	11546	ENSMUST00000125371.1	ENSMUST00000125371	ENSMUST00000125371						NA
H3K27ac_i73_peak_7173	chr4	155566214	155566795	+	56	NA	intron (ENSMUST00000135429.1, intron 1 of 3)	-intron (ENSMUST00000030939.13, intron 1 of 11)	2432	ENSMUST00000135429.1	ENSMUST00000135429	ENSMUST00000135429						NA
H3K27ac_i73_peak_6944	chr4	134758387	134761264	+	56	NA	intron (ENSMUST00000037828.7, intron 1 of 8)	-intron (ENSMUST00000037828.7, intron 1 of 8)	8199	ENSMUST00000037828.7	ENSMUST00000037828	ENSMUST00000037828						NA
H3K27ac_i73_peak_775	chr10	58371415	58371847	+	56	NA	exon (ENSMUST00000238939.1, exon 1 of 10)	-exon (ENSMUST00000238939.1, exon 1 of 10)	177	ENSMUST00000238939.1	ENSMUST00000238939	ENSMUST00000238939						NA
H3K27ac_i73_peak_6734	chr4	99193880	99194345	+	56	NA	promoter-TSS (ENSMUST00000180278.1)	-promoter-TSS (ENSMUST00000180278.1)	-35	ENSMUST00000180278.1	ENSMUST00000180278	ENSMUST00000180278						NA
H3K27ac_i73_peak_7564	chr5	123138335	123139644	+	56	NA	promoter-TSS (ENSMUST00000159072.1)	-promoter-TSS (ENSMUST00000159072.1)	58	ENSMUST00000195992.1	ENSMUST00000195992	ENSMUST00000195992						NA
H3K27ac_i73_peak_10230	chr9	106790973	106791197	+	56	NA	Intergenic	Intergenic	-1891	ENSMUST00000046502.6	ENSMUST00000046502	ENSMUST00000046502						NA
H3K27ac_i73_peak_4536	chr17	86441108	86441331	+	56	NA	intron (ENSMUST00000097275.8, intron 2 of 14)	-intron (ENSMUST00000097274.2, intron 3 of 15)	-49343	ENSMUST00000150486.1	ENSMUST00000150486	ENSMUST00000150486						NA
H3K27ac_i73_peak_8887	chr7	98119146	98119562	+	56	NA	exon (ENSMUST00000107127.7, exon 1 of 49)	-exon (ENSMUST00000107127.7, exon 1 of 49)	138	ENSMUST00000131632.1	ENSMUST00000131632	ENSMUST00000131632						NA
H3K27ac_i73_peak_8871	chr7	90049455	90050109	+	56	NA	TTS (ENSMUST00000208266.1)	-TTS (ENSMUST00000208266.1)	7085	ENSMUST00000208325.1	ENSMUST00000208325	ENSMUST00000208325						NA
H3K27ac_i73_peak_3711	chr15	102105270	102105720	+	56	NA	intron (ENSMUST00000230474.1, intron 2 of 27)	-intron (ENSMUST00000046144.9, intron 3 of 28)	1070	ENSMUST00000230474.1	ENSMUST00000230474	ENSMUST00000230474						NA
H3K27ac_i73_peak_2546	chr13	48966659	48967675	+	56	NA	intron (ENSMUST00000060805.6, intron 1 of 17)	-intron (ENSMUST00000060805.6, intron 1 of 17)	850	ENSMUST00000060805.6	ENSMUST00000060805	ENSMUST00000060805						NA
H3K27ac_i73_peak_9201	chr8	5095473	5095684	+	56	NA	intron (ENSMUST00000023835.2, intron 2 of 5)	-intron (ENSMUST00000023835.2, intron 2 of 5)	9773	ENSMUST00000023835.2	ENSMUST00000023835	ENSMUST00000023835						NA
H3K27ac_i73_peak_2994	chr14	56620436	56620799	+	56	NA	promoter-TSS (ENSMUST00000160334.7)	-promoter-TSS (ENSMUST00000160334.7)	-104	ENSMUST00000161382.1	ENSMUST00000161382	ENSMUST00000161382						NA
H3K27ac_i73_peak_2208	chr12	79559458	79559762	+	56	NA	intron (ENSMUST00000221257.1, intron 1 of 2)	-intron (ENSMUST00000171210.2, intron 7 of 10)	232257	ENSMUST00000221257.1	ENSMUST00000221257	ENSMUST00000221257						NA
H3K27ac_i73_peak_5791	chr2	148039272	148039752	+	55	NA	intron (ENSMUST00000136555.7, intron 1 of 2)	-intron (ENSMUST00000136555.7, intron 1 of 2)	691	ENSMUST00000136555.7	ENSMUST00000136555	ENSMUST00000136555						NA
H3K27ac_i73_peak_806	chr10	61679953	61680201	+	55	NA	promoter-TSS (ENSMUST00000020285.9)	-promoter-TSS (ENSMUST00000020285.9)	178	ENSMUST00000219142.1	ENSMUST00000219142	ENSMUST00000219142						NA
H3K27ac_i73_peak_2487	chr13	37601163	37601395	+	55	NA	Intergenic	Intergenic	19008	ENSMUST00000223615.1	ENSMUST00000223615	ENSMUST00000223615						NA
H3K27ac_i73_peak_4862	chr18	75501647	75503938	+	55	NA	intron (ENSMUST00000165559.2, intron 9 of 11)	-intron (ENSMUST00000165559.2, intron 9 of 11)	-11853	ENSMUST00000181913.1	ENSMUST00000181913	ENSMUST00000181913						NA
H3K27ac_i73_peak_10366	chrX	42065111	42065399	+	55	NA	intron (ENSMUST00000224454.1, intron 1 of 3)	-intron (ENSMUST00000141316.7, intron 1 of 3)	-2581	ENSMUST00000115094.7	ENSMUST00000115094	ENSMUST00000115094						NA
H3K27ac_i73_peak_10107	chr9	70840937	70841268	+	55	NA	intron (ENSMUST00000216798.1, intron 1 of 8)	-intron (ENSMUST00000034731.9, intron 1 of 8)	-11474	ENSMUST00000179930.2	ENSMUST00000179930	ENSMUST00000179930						NA
H3K27ac_i73_peak_8496	chr7	24531655	24531984	+	55	NA	exon (ENSMUST00000049020.8, exon 2 of 3)	-exon (ENSMUST00000049020.8, exon 2 of 3)	1130	ENSMUST00000049020.8	ENSMUST00000049020	ENSMUST00000049020						NA
H3K27ac_i73_peak_7464	chr5	112279909	112280440	+	55	NA	intron (ENSMUST00000071455.5, intron 1 of 5)	-intron (ENSMUST00000031287.10, intron 1 of 6)	3467	ENSMUST00000071455.5	ENSMUST00000071455	ENSMUST00000071455						NA
H3K27ac_i73_peak_7437	chr5	105792380	105793449	+	55	NA	intron (ENSMUST00000140081.7, intron 1 of 2)	-intron (ENSMUST00000060531.15, intron 2 of 2)	4799	ENSMUST00000132586.1	ENSMUST00000132586	ENSMUST00000132586						NA
H3K27ac_i73_peak_239	chr1	91055913	91056823	+	55	NA	intron (ENSMUST00000189617.2, intron 1 of 24)	-intron (ENSMUST00000068116.12, intron 1 of 12)	2782	ENSMUST00000189617.2	ENSMUST00000189617	ENSMUST00000189617						NA
H3K27ac_i73_peak_7990	chr6	72439741	72440169	+	55	NA	promoter-TSS (ENSMUST00000059472.9)	-promoter-TSS (ENSMUST00000059472.9)	-397	ENSMUST00000059472.9	ENSMUST00000059472	ENSMUST00000059472						NA
H3K27ac_i73_peak_4795	chr18	60746918	60747890	+	55	NA	promoter-TSS (ENSMUST00000235603.1)	-promoter-TSS (ENSMUST00000235603.1)	255	ENSMUST00000235966.1	ENSMUST00000235966	ENSMUST00000235966						NA
H3K27ac_i73_peak_3809	chr16	18416088	18416982	+	55	NA	promoter-TSS (ENSMUST00000150389.1)	-promoter-TSS (ENSMUST00000150389.1)	-147	ENSMUST00000150389.1	ENSMUST00000150389	ENSMUST00000150389						NA
H3K27ac_i73_peak_504	chr1	165849474	165850463	+	55	NA	promoter-TSS (ENSMUST00000193728.1)	-promoter-TSS (ENSMUST00000193728.1)	-924	ENSMUST00000193728.1	ENSMUST00000193728	ENSMUST00000193728						NA
H3K27ac_i73_peak_9795	chr8	128484914	128485503	+	55	NA	intron (ENSMUST00000026917.9, intron 11 of 16)	-intron (ENSMUST00000026917.9, intron 11 of 16)	125811	ENSMUST00000212933.1	ENSMUST00000212933	ENSMUST00000212933						NA
H3K27ac_i73_peak_9328	chr8	46477931	46478384	+	55	NA	intron (ENSMUST00000135955.7, intron 2 of 5)	-intron (ENSMUST00000034046.12, intron 1 of 20)	-4567	ENSMUST00000211328.1	ENSMUST00000211328	ENSMUST00000211328						NA
H3K27ac_i73_peak_3943	chr16	35938747	35939187	+	55	NA	promoter-TSS (ENSMUST00000023622.12)	-promoter-TSS (ENSMUST00000023622.12)	-44	ENSMUST00000023622.12	ENSMUST00000023622	ENSMUST00000023622						NA
H3K27ac_i73_peak_2088	chr12	8811150	8812413	+	55	NA	Intergenic	Intergenic	39978	ENSMUST00000160348.1	ENSMUST00000160348	ENSMUST00000160348						NA
H3K27ac_i73_peak_2269	chr12	86795390	86796176	+	55	NA	Intergenic	Intergenic	-14174	ENSMUST00000157778.1	ENSMUST00000157778	ENSMUST00000157778						NA
H3K27ac_i73_peak_9488	chr8	88857087	88857529	+	55	NA	Intergenic	Intergenic	5766	ENSMUST00000211407.1	ENSMUST00000211407	ENSMUST00000211407						NA
H3K27ac_i73_peak_8930	chr7	101326128	101326480	+	55	NA	promoter-TSS (ENSMUST00000172644.2)	-promoter-TSS (ENSMUST00000172644.2)	-73	ENSMUST00000172644.2	ENSMUST00000172644	ENSMUST00000172644						NA
H3K27ac_i73_peak_9225	chr8	13061500	13062318	+	55	NA	intron (ENSMUST00000211453.1, intron 1 of 7)	-intron (ENSMUST00000033822.3, intron 1 of 7)	944	ENSMUST00000033822.3	ENSMUST00000033822	ENSMUST00000033822						NA
H3K27ac_i73_peak_6349	chr3	103801834	103802428	+	55	NA	promoter-TSS (ENSMUST00000149374.7)	-promoter-TSS (ENSMUST00000149374.7)	-998	ENSMUST00000149374.7	ENSMUST00000149374	ENSMUST00000149374						NA
H3K27ac_i73_peak_5824	chr2	152821197	152821626	+	55	NA	intron (ENSMUST00000109820.4, intron 2 of 2)	-intron (ENSMUST00000007803.11, intron 2 of 2)	7124	ENSMUST00000173755.1	ENSMUST00000173755	ENSMUST00000173755						NA
H3K27ac_i73_peak_9799	chr9	7829740	7830021	+	55	NA	intron (ENSMUST00000190341.6, intron 2 of 7)	-intron (ENSMUST00000074246.6, intron 1 of 6)	5375	ENSMUST00000074246.6	ENSMUST00000074246	ENSMUST00000074246						NA
H3K27ac_i73_peak_7325	chr5	64701927	64702236	+	55	NA	Intergenic	Intergenic	-3560	ENSMUST00000180650.2	ENSMUST00000180650	ENSMUST00000180650						NA
H3K27ac_i73_peak_5961	chr2	165982415	165983316	+	55	NA	intron (ENSMUST00000130022.1, intron 2 of 5)	-intron (ENSMUST00000130022.1, intron 2 of 5)	3059	ENSMUST00000130022.1	ENSMUST00000130022	ENSMUST00000130022						NA
H3K27ac_i73_peak_3629	chr15	88868066	88868628	+	55	NA	Intergenic	Intergenic	3427	ENSMUST00000229969.1	ENSMUST00000229969	ENSMUST00000229969						NA
H3K27ac_i73_peak_8537	chr7	28375159	28375853	+	55	NA	Intergenic	Intergenic	-2907	ENSMUST00000144700.7	ENSMUST00000144700	ENSMUST00000144700						NA
H3K27ac_i73_peak_1561	chr11	75458182	75458553	+	55	NA	Intergenic	Intergenic	-3172	ENSMUST00000149940.1	ENSMUST00000149940	ENSMUST00000149940						NA
H3K27ac_i73_peak_6764	chr4	105158184	105158544	+	55	NA	intron (ENSMUST00000064139.7, intron 1 of 5)	-intron (ENSMUST00000064139.7, intron 1 of 5)	1017	ENSMUST00000064139.7	ENSMUST00000064139	ENSMUST00000064139						NA
H3K27ac_i73_peak_7603	chr5	125331195	125331449	+	55	NA	intron (ENSMUST00000148373.7, intron 1 of 10)	-intron (ENSMUST00000086075.12, intron 1 of 12)	-3603	ENSMUST00000197310.1	ENSMUST00000197310	ENSMUST00000197310						NA
H3K27ac_i73_peak_399	chr1	134092826	134093394	+	55	NA	Intergenic	Intergenic	6049	ENSMUST00000193617.1	ENSMUST00000193617	ENSMUST00000193617						NA
H3K27ac_i73_peak_8946	chr7	101908313	101908760	+	55	NA	intron (ENSMUST00000193465.1, intron 1 of 4)	-intron (ENSMUST00000033131.11, intron 1 of 4)	-2177	ENSMUST00000106970.2	ENSMUST00000106970	ENSMUST00000106970						NA
H3K27ac_i73_peak_5613	chr2	90566833	90567657	+	55	NA	intron (ENSMUST00000168621.2, intron 1 of 23)	-intron (ENSMUST00000168621.2, intron 1 of 23)	13402	ENSMUST00000168621.2	ENSMUST00000168621	ENSMUST00000168621						NA
H3K27ac_i73_peak_8649	chr7	43443317	43444180	+	55	NA	promoter-TSS (ENSMUST00000004729.4)	-promoter-TSS (ENSMUST00000004729.4)	-335	ENSMUST00000004729.4	ENSMUST00000004729	ENSMUST00000004729						NA
H3K27ac_i73_peak_4295	chr17	45584355	45584694	+	55	NA	TTS (ENSMUST00000051574.12)	-TTS (ENSMUST00000051574.12)	-1596	ENSMUST00000087588.3	ENSMUST00000087588	ENSMUST00000087588						NA
H3K27ac_i73_peak_2076	chr12	8498715	8499613	+	55	NA	exon (ENSMUST00000067384.5, exon 1 of 1)	-exon (ENSMUST00000067384.5, exon 1 of 1)	845	ENSMUST00000067384.5	ENSMUST00000067384	ENSMUST00000067384						NA
H3K27ac_i73_peak_2046	chr11	120679735	120680465	+	55	NA	intron (ENSMUST00000168097.7, intron 4 of 5)	-intron (ENSMUST00000026135.14, intron 4 of 15)	2761	ENSMUST00000151160.7	ENSMUST00000151160	ENSMUST00000151160						NA
H3K27ac_i73_peak_7204	chr5	21175308	21175791	+	55	NA	Intergenic	Intergenic	-10706	ENSMUST00000197522.4	ENSMUST00000197522	ENSMUST00000197522						NA
H3K27ac_i73_peak_5744	chr2	131209857	131210682	+	55	NA	promoter-TSS (ENSMUST00000089506.11)	-promoter-TSS (ENSMUST00000089506.11)	-101	ENSMUST00000134086.1	ENSMUST00000134086	ENSMUST00000134086						NA
H3K27ac_i73_peak_3534	chr15	82417512	82417824	+	55	NA	Intergenic	Intergenic	5779	ENSMUST00000229517.1	ENSMUST00000229517	ENSMUST00000229517						NA
H3K27ac_i73_peak_5598	chr2	84774732	84775064	+	55	NA	exon (ENSMUST00000131456.1, exon 1 of 2)	-exon (ENSMUST00000131456.1, exon 1 of 2)	230	ENSMUST00000131456.1	ENSMUST00000131456	ENSMUST00000131456						NA
H3K27ac_i73_peak_6350	chr3	103802959	103803201	+	55	NA	promoter-TSS (ENSMUST00000145893.1)	-promoter-TSS (ENSMUST00000145893.1)	-49	ENSMUST00000149374.7	ENSMUST00000149374	ENSMUST00000149374						NA
H3K27ac_i73_peak_4862-2	chr18	75501647	75503938	+	55	NA	intron (ENSMUST00000165559.2, intron 9 of 11)	-intron (ENSMUST00000165559.2, intron 9 of 11)	-11853	ENSMUST00000181913.1	ENSMUST00000181913	ENSMUST00000181913						NA
H3K27ac_i73_peak_4683	chr18	35730216	35730744	+	55	NA	TTS (ENSMUST00000143778.1)	-TTS (ENSMUST00000143778.1)	3491	ENSMUST00000097617.2	ENSMUST00000097617	ENSMUST00000097617						NA
